Hour,GROUND_R5_Temp,GROUND_R5_Humidity,UPPER_R5_Temp,UPPER_R5_Humidity,District Heating Water Energy : HOT WATER LOOP DISTRICT HEATING,DistrictCooling:Facility : None,Electricity:Facility : None,Fans:Electricity : None,InteriorEquipment:Electricity : None,InteriorLights:Electricity : None,Pumps:Electricity : None,Water:Facility : None,Total Energy
76,21.53269116098545,58.84426841891702,20.884562767314957,43.949751269261434,505815846.6618293,82002764.90781926,65514424.40373563,8673228.299255883,42337855.84388244,12278055.081989996,2225285.1786073176,0.007438211410988301,261453961.59361845
77,21.53210632515817,57.02724744239242,20.78387847939857,43.36442406359436,505253328.230892,77089317.8464201,69681610.50217436,8673228.299255883,42949903.765588544,15865123.000067241,2193355.43726269,0.029752845643953606,263795825.86127838
78,21.53175161732646,55.52813685682486,20.72323204441167,42.97663206371528,502837232.5487581,71727742.85282256,82528217.8377555,8673228.299255883,49564201.322168,22142492.054821134,2148296.1615105,0.2008317080966909,274049876.30494905
79,21.530908549416093,55.20065656903561,20.80416112227648,43.22506529299727,497716108.87430036,72723405.17337017,97743590.8080609,8673228.299255883,63870836.777960315,23039258.9947167,2160266.736127998,0.6991918726329261,287890095.49061775
80,21.681746291817984,54.97849931387183,20.7966155043131,44.171057776283426,499171168.6835185,65760290.43703813,110218484.51171184,8673228.299255883,77345033.15809168,22142492.054821134,2057730.9995431497,0.7438211410988574,298528970.8852307
81,21.68573102371246,55.22180153282167,20.73130734261797,44.56348718015402,500697921.8427948,67721261.96124417,110124467.1882808,8673228.299255883,80490464.82972063,18878146.32000185,2082627.7393024345,0.7140682954549032,299597528.4562938
82,21.684397031025657,55.289204858519014,21.139376760933512,44.406194720450465,500174013.09440863,105892689.15835987,107950320.57012233,8673228.299255883,79732361.40723576,17084612.28171575,2460118.581914953,0.62480975852304,309972554.65437853
83,21.685194738528548,58.53026822572941,20.812939008716743,47.831516976309395,504986914.7591057,94375811.65365542,107489080.22712052,8673228.299255883,79440250.40567827,17084612.28171575,2290989.240470659,0.5653040672351313,307276655.6980409
84,21.685690011898018,58.85585293044951,21.018968326528178,45.77143964396251,493698999.06400716,110894254.24221545,108784201.75856501,8673228.299255883,80518290.7483117,17084612.28171575,2508070.4292817046,0.4537308960703022,310315286.1939726
85,21.687046289116243,60.09002867752957,21.049598185122296,46.87657568996349,478217572.1518687,115623584.36413153,107038124.95324841,8673228.299255883,79247091.02574714,16647577.676767655,2470227.9514777535,0.3942252047823942,304985177.12524843
86,21.68610158081449,59.68137299020692,21.179044966903593,46.81449806394275,450491581.05814964,131380581.36719833,104430142.035178,8673228.299255883,76206129.37777792,17084612.28171575,2466172.076428462,0.3495959363164626,298387529.51029396
87,21.686585022851162,60.02206970717315,21.197512306829882,48.135004021868745,443218128.31356686,134636715.4910665,103307353.33239982,8673228.299255883,75128089.03514448,17084612.28171575,2421423.716283741,0.30496666785053084,295925634.600611
88,21.68605832033162,60.26873841557087,21.28210779998013,49.66106351104717,434122927.36733234,137193629.16885176,109152515.339019,8673228.299255883,78362210.0630448,19774913.4183924,2342163.5583259547,0.3495959363164626,299591367.51774704
89,21.685856992242435,60.44575847803916,21.38374300304373,50.59592907730135,438513367.711731,135424892.11680514,130734291.96094751,8673228.299255883,93746885.8614706,26052282.314651314,2261895.485569743,0.40910162760437124,322047045.23712623
90,21.606192681040056,61.06714507036204,21.34090833431124,52.23605153905719,450190702.63650763,116378425.85406621,154216562.2300718,8673228.299255883,115076445.1502623,28419860.95108005,2047027.8294735572,0.5429894330021654,343072938.3935964
91,21.531250595217927,62.86088325721803,21.497566211585262,51.67596778011239,433284627.84674454,118577420.13001221,160097894.63848576,8673228.299255883,114684788.38251103,34697230.00583395,2042647.9508848935,0.6396861813450169,344051910.630738
92,21.529285989945112,62.4832591488601,21.328311283574788,48.03214684783439,462714975.45825684,102725365.07904486,155891762.9322133,8673228.299255883,105914410.14066473,39181065.02230175,2123059.4699909333,0.6099333357010631,344371876.4446472
93,21.5297977277681,62.294796338685465,21.29772250332367,43.90014307244895,467434855.37895256,93459072.12491013,151737576.90573224,8673228.299255883,101602248.77013095,39181065.02230175,2281034.814043666,0.5578658558241428,338702219.4070198
94,21.53002725999218,61.53707725962556,21.33464797110311,40.46816599125804,470995312.42443776,91459998.78555223,137358461.5270617,8673228.299255883,96065991.55618495,30213394.989366166,2405846.6822547,0.4537308960703022,324843565.26372504
95,21.530757800018268,60.52014311507685,21.320861713366764,40.35963187162401,476288050.1458039,92600652.17605563,112099711.84737475,8673228.299255883,79749330.91590448,21245724.9564306,2431427.675783772,0.3942252047823942,301729279.2879946
