Hour,Hydrogen_Produced_kg,Hydrogen_Stored_kg,Hydrogen_Used_kg,Electrolysis_Heat_Gain_kWh,FuelCell_Heat_Gain_kWh,Electrolysis Heat Consummed_kW,Energy_Consumption_kWh,Generated_PV_Power_kW,P_net_kW,Electrolysis Energy Consummed_kW,Fuel Cell Generated Energy_kWh,Useful_Energy_After_Storage_kWh,Water_Waste_filtered_kg,Tap_Water_Used_kg,Water_Needed_kg,Water_Produced_in_FuelCell_kg
88,0.0,21.411801743743208,0.7318481852482269,0.0,3.51252000206257,0.0,89.4575125658684,71.89491255555555,-17.56260001031285,0.0,17.56260001031285,89.4575125658684,81.82032552087425,0.0,0.0,6.586633667234042
89,0.0,18.286489212490082,3.1253125312531256,0.0,15.0,0.0,95.29803844266567,7.581185197222222,-87.71685324544345,0.0,75.0,82.58118519722223,108.59788660043309,0.0,0.0,28.12781278127813
90,0.0,15.161176681236956,3.1253125312531256,0.0,15.0,0.0,95.569975175205,0.2333679853611111,-95.33660718984389,0.0,75.0,75.23336798536111,127.93723626900338,0.0,0.0,28.12781278127813
91,0.0,12.03586414998383,3.1253125312531256,0.0,15.0,0.0,95.65885456795755,0.0,-95.65885456795755,0.0,75.0,75.0,121.98666714021263,0.0,0.0,28.12781278127813
92,0.0,8.910551618730704,3.1253125312531256,0.0,15.0,0.0,94.08394983528328,0.0,-94.08394983528328,0.0,75.0,75.0,111.57317116482857,0.0,0.0,28.12781278127813
93,0.0,5.785239087477578,3.1253125312531256,0.0,15.0,0.0,90.23432368436806,0.0,-90.23432368436806,0.0,75.0,75.0,90.74617921406045,0.0,0.0,28.12781278127813
94,0.0,2.6599265562244523,3.1253125312531256,0.0,15.0,0.0,83.81368869110962,0.0,-83.81368869110962,0.0,75.0,75.0,78.84504095647884,0.0,0.0,28.12781278127813
95,0.0,0.0,2.6599265562244523,0.0,12.766370705130383,0.0,78.52748221918752,0.0,-78.52748221918752,0.0,63.83185352565191,63.83185352565191,43.14162618373354,0.0,0.0,23.93933900602007
96,0.0,0.0,0.0,0.0,0.0,0.0,74.21648076639413,0.0,-74.21648076639413,0.0,0.0,0.0,11.901138257581461,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,72.82744690394911,0.0,-72.82744690394911,0.0,0.0,0.0,5.95056912879072,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,71.97456718933798,0.0,-71.97456718933798,0.0,0.0,0.0,1.4876422821976603,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,71.245801127004,0.0,-71.245801127004,0.0,0.0,0.0,1.4876422821976603,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,72.09179090194978,0.0,-72.09179090194978,0.0,0.0,0.0,5.95056912879072,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,75.30354742574757,0.0,-75.30354742574757,0.0,0.0,0.0,40.16634161933818,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,78.72644299636235,0.0,-78.72644299636235,0.0,0.0,0.0,139.83837452658523,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,81.92621127670651,0.0,-81.92621127670651,0.0,0.0,0.0,148.7642282197715,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,83.59363968166693,29.88194822222222,-53.71169145944471,0.0,0.0,29.88194822222222,142.81365909098065,0.0,0.0,0.0
105,1.0057038441011676,1.0057038441011676,0.0,16.760054561945957,0.0,0.7006403447238134,83.95047309906901,139.81732163888887,55.866848539819856,55.866848539819856,0.0,83.9504724442177,124.961951704608,9.05133459691051,9.05133459691051,0.0
